      # name ref Mv logRe logM* logSigma_e
     99-15c  5 -10.8  0.771  6.748  4.408
      F-34a  5 -10.8  0.602  6.740  4.738
      F-22a  5 -11.2  1.000  6.724  3.926
     2-C11c  5 -10.4  0.892  6.724  4.142
     2-C17c  5 -10.6  0.756  6.708  4.398
     81-C5c  5 -10.6  1.000  6.699  3.901
     2-C21c  5 -10.4  0.845  6.681  4.193
     H8005d  5 -10.8  1.449  6.681  2.986
     H99-2c  5 -10.3  1.057  6.623  3.711
      F-53a  5 -10.6  0.643  6.591  4.506
     92-C6c  5 -11.1  0.643  6.556  4.471
      F-51a  5 -10.6  0.623  6.544  4.499
     2-C29c  5 -10.1  0.839  6.519  4.043
       Cenc  5 -10.4  0.903  6.477  3.873
     2-C22c  5 -10.1  0.580  6.415  4.457
     81-C3c  5 -10.6  0.643  6.380  4.295
     99-16c  5 -10.1  1.083  6.301  3.337
     2-C44c  5  -9.5  0.756  6.279  3.969
     1-113c  5  -9.9  0.556  6.255  4.344
     99-21c  5 -10.3  0.851  6.204  3.703
     6-C18c  5 -10.7  0.505  6.204  4.396
     C6715f  5 -10.2  0.806  6.176  3.766
      F-59a  5 -10.5  0.756  6.114  3.804
     1-226c  5  -9.7  0.724  6.114  3.867
     2-C41c  5  -9.7  0.653  6.079  3.975
     1-223c  5  -9.5  0.415  6.041  4.413
     1-123c  5  -9.8  0.447  6.041  4.349
     1-116c  5  -9.8  0.519  6.041  4.206
          1  6 -13.1  0.833  7.853  5.389
         29  6 -14.4  1.413  8.348  4.724
         31  6 -11.7  0.448  7.343  5.649
         32  6 -13.2  1.110  7.926  4.906
         36  6 -13.0  1.222  7.801  4.559
         37  6 -11.8  0.319  7.308  5.873
         38  6 -14.2  1.603  8.315  4.309
         39  6 -16.1  1.796  8.950  4.560
         42  6 -14.0  1.680  8.211  4.053
         44  6 -10.9  0.682  6.596  4.434
         47  6 -10.9  0.628  6.959  4.905
         48  6 -11.9  0.489  7.130  5.354
         49  6 -11.5  0.516  7.038  5.207
         50  6 -11.2  0.466  6.842  5.112
         51  6 -10.0  0.435  6.303  4.634
         52  6 -12.7  0.970  7.461  4.723
         55  6 -11.6  0.483  6.981  5.216
         57  6 -12.4  1.102  7.276  4.274
         58  6  -9.3  0.319  5.926  4.491
         59  6 -10.3  0.511  6.376  4.555
         60  6 -11.3  0.335  6.931  5.462
         62  6 -11.3  1.011  6.777  3.957
         63  6  -8.9  1.150  6.021  2.922
         64  6 -11.8  1.276  7.006  3.657
         68  6 -11.4  0.838  6.801  4.327
         69  6 -11.1  0.422  6.740  5.098
         70  6  -9.2  0.416  5.890  4.261
         71  6  -8.5  0.562  5.622  3.701
         78  6  -9.5  0.542  6.054  4.171
         79  6 -12.3  0.985  7.273  4.506
         81  6 -10.3  0.500  6.355  4.557
         83  6 -12.7  1.198  7.583  4.389
         84  6 -11.8  0.678  7.130  4.975
         85  6 -11.1  0.454  6.723  5.017
         86  6  -9.0  0.746  5.836  3.546
         88  6 -10.2  0.511  6.338  4.517
